"Site_Name","Site_Type","Site_Sub_Type","City","County","State","county.fips.character","Site_EPA_ID","EPA_Hazard_Risk_Score","Floodplain","Sea_Level_Rise","Cap","Date_Discovery","Date_Final_Listing_on_NPL","Date_Deletion_from_NPL","total_population","total_housing_units","low_median_income","high_median_income","renter_prop","pov_prop","black_prop","white_prop","asian_prop","hisp_prop","total_pop_under_5","total_pop_under_18","latitude","longitude"
"GOLD COAST OIL CORP.","Recycling","Chemicals/chemical waste (e.g., solvent recovery)","MIAMI","MIAMI-DADE","FL","12086","FLD071307680",57.8,"Not in flood zone","1.5 meter rise",1,1980-08-01,1983-09-08,1996-10-09,21176,6698,29939,83311,0.3,0.14,0.02,0.11,0.01,0.86,1045,3609,25.7434,-80.3112
"MIAMI DRUM SERVICES","Recycling","Drums/tanks","MIAMI","MIAMI-DADE","FL","12086","FLD076027820",53.56,"500 year zone","1.5 meter rise",0,1979-11-01,1983-09-08,NA,13560,4728,17152,70625,0.7,0.27,0.04,0.08,0,0.87,686,2234,25.83721,-80.31306
"CHEMFORM, INC.","Manufacturing/Processing/Maintenance","Trucks/ships/trains/aircraft and related components","POMPANO BEACH","BROWARD","FL","12011","FLD080174402",37.93,"500 year zone","1.5 meter rise",0,1979-07-01,1989-10-04,2000-07-28,17987,7148,31293,73214,0.47,0.2,0.22,0.4,0.03,0.34,1357,3818,26.18675,-80.1428
"MUNISPORT LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","NORTH MIAMI","MIAMI-DADE","FL","12086","FLD084535442",32.37,"100 year zone","1 meter rise",0,1979-01-01,1983-09-08,1999-09-24,12039,4622,24844,63723,0.6,0.29,0.53,0.16,0.04,0.29,765,2736,25.90833,-80.15416
"CALLAWAY & SON DRUM SERVICE","Recycling","Drums/tanks","LAKE ALFRED","POLK","FL","12105","FLD094590916",46.22,"100 year zone","Not in sea level rise area",0,1985-02-01,2000-05-11,2009-08-04,2156,1190,35886,50682,0.23,0.22,0.1,0.75,0.01,0.12,105,386,28.09805,-81.71472
"PICKETTVILLE ROAD LANDFILL","Waste Management","Co-disposal landfill (municipal and industrial)","JACKSONVILLE","DUVAL","FL","12031","FLD980556351",58.75,"100 year zone","Not in sea level rise area",1,1981-06-01,1983-09-08,NA,2084,888,19030,51117,0.33,0.31,0.64,0.31,0,0.06,153,544,30.36861,-81.73888
"DAVIE LANDFILL","Waste Management","Industrial waste facility (non-generator)","DAVIE","BROWARD","FL","12011","FLD980602288",57.86,"100 year zone","Not in sea level rise area",1,1979-11-01,1983-09-08,2006-08-21,3668,1227,90450,91455,0.06,0.04,0.14,0.5,0.08,0.26,107,929,26.0696,-80.3426
"VARSOL SPILL","Other","Transportation (e.g., railroad yards, airport, barge docking site)","MIAMI","MIAMI-DADE","FL","12086","FLD980602346",44.46,"Not in flood zone","1.5 meter rise",0,1979-11-01,1983-09-08,1988-09-01,6816,2392,30605,50816,0.54,0.18,0.04,0.13,0.02,0.84,283,1278,25.8047,-80.2772
"NORTHWEST 58TH STREET LANDFILL","Waste Management","Municipal solid waste landfill","HIALEAH","MIAMI-DADE","FL","12086","FLD980602643",49.43,"100 year zone","Not in sea level rise area",1,1978-12-01,1983-09-08,1996-10-11,4912,2050,18250,80035,0.48,0.11,0.03,0.14,0.07,0.77,407,1244,25.83333,-80.34721
"BROWN WOOD PRESERVING","Manufacturing/Processing/Maintenance","Lumber and wood products/wood preserving/treatment","LIVE OAK","SUWANNEE","FL","12121","FLD980728935",45.51,"500 year zone","Not in sea level rise area",0,1982-05-01,1983-09-08,1995-09-22,440,168,36731,38090,0.36,0.26,0.22,0.64,0,0.14,30,106,30.3025,-83.01305
